ID,"Dominant
Race","Economy
Type",Sell (+),Buy (-),"Economy
Strength",Economy Strength Numeric,"Conflict
Level","Star
Colour",Total
1,Korvax,High Tech,0.79,0.29,Struggling,1,1,Green,1.08
2,Korvax,Research,0.77,0.30,Comfortable,2,1,Yellow,1.07
3,Vy'keen,Mining,0.79,0.28,Comfortable,2,1,Yellow,1.07
4,Korvax,High Tech,0.78,0.28,Comfortable,2,1,Yellow,1.06
5,Gek,Research,0.76,0.29,Comfortable,2,2,Yellow,1.06
6,Gek,Research,0.75,0.29,Comfortable,2,3,Yellow,1.05
7,Vy'keen,Material Fusion,0.76,0.29,Struggling,1,2,Yellow,1.05
8,Gek,Mining,0.78,0.27,Balanced,2,2,Yellow,1.04
9,Korvax,Mercantile,0.78,0.25,Balanced,2,2,Yellow,1.03
10,Vy'keen,Industrial,0.79,0.22,Developing,2,1,Yellow,1.01
11,Korvax,High Tech,0.73,0.28,Comfortable,2,1,Yellow,1.01
12,Korvax,Scientific,0.79,0.22,Declining,1,3,Yellow,1.01
13,Vy'keen,Industrial,0.79,0.20,Developing,2,3,Yellow,0.99
14,Korvax,Manufacturing,0.70,0.30,Comfortable,2,3,Green,0.99
15,Gek,Trading,0.76,0.22,Developing,2,3,Red,0.98
16,Korvax,Research,0.70,0.28,Comfortable,2,1,Yellow,0.98
17,Korvax,Trading,0.76,0.22,Declining,1,1,Yellow,0.98
18,Vy'keen,Energy Supply,0.77,0.21,Declining,1,1,Yellow,0.98
19,Gek,High Tech,0.72,0.26,Balanced,2,1,Green,0.98
20,Vy'keen,Construction,0.78,0.19,Medium Supply,2,2,Blue,0.97
21,Vy'keen,Shipping,0.79,0.18,Medium Supply,2,2,Yellow,0.97
22,Korvax,Shipping,0.79,0.18,Medium Supply,2,1,Yellow,0.97
23,Gek,Minerals,0.73,0.23,Promising,2,2,Yellow,0.97
24,Gek,Ore Extraction,0.78,0.19,Medium Supply,2,3,Yellow,0.97
25,Gek,Power Generation,0.67,0.29,Struggling,1,,Blue,0.96
26,Vy'keen,Minerals,0.75,0.21,Affluent,3,3,Yellow,0.96
27,Vy'keen,Shipping,0.79,0.17,Satisfactory,2,3,Yellow,0.96
28,Vy'keen,Construction,0.77,0.19,Failing,1,3,Yellow,0.96
29,Korvax,Metal Processing,0.78,0.18,Booming,3,2,Yellow,0.96
30,Vy'keen,Research,0.69,0.27,Prosperous,3,3,Yellow,0.95
31,Korvax,Mining,0.69,0.26,Balanced,2,2,Green,0.95
32,Gek,Technology,0.74,0.21,Developing,2,2,Yellow,0.95
33,Gek,Research,0.65,0.30,Comfortable,2,1,Yellow,0.95
34,Vy'keen,Research,0.65,0.30,Struggling,1,2,Green,0.95
35,Vy'keen,Power Generation,0.68,0.27,Balanced,2,3,Blue,0.95
36,Vy'keen,Experimental,0.76,0.19,Medium Supply,2,2,Yellow,0.95
37,Korvax,Metal Processing,0.76,0.19,Failing,1,,Green,0.94
38,Vy'keen,Construction,0.77,0.17,Destitute,1,3,Yellow,0.94
39,Gek,High Tech,0.66,0.28,Struggling,1,2,Yellow,0.94
40,Korvax,Ore Extraction,0.78,0.16,Destitute,1,2,Yellow,0.94
41,Vy'keen,Metal Processing,0.74,0.19,Medium Supply,2,2,Yellow,0.94
42,Vy'keen,Manufacturing,0.67,0.26,Balanced,2,2,Blue,0.93
43,Gek,Nano-construction,0.78,0.15,Destitute,1,1,Yellow,0.93
44,Korvax,Shipping,0.76,0.17,Destitute,1,1,Yellow,0.93
45,Korvax,Energy Supply,0.71,0.22,Developing,2,1,Yellow,0.93
46,Gek,Metal Processing,0.74,0.18,Medium Supply,2,3,Green,0.93
47,Vy'keen,Mercantile,0.65,0.27,Balanced,2,2,Yellow,0.92
48,Korvax,Mining,0.66,0.26,Balanced,2,2,Yellow,0.92
49,Gek,Minerals,0.71,0.21,Developing,2,3,Yellow,0.91
50,Gek,Construction,0.72,0.20,Medium Supply,2,1,Yellow,0.91
51,Vy'keen,Ore Processing,0.79,0.12,Unsuccessful,1,,Green,0.91
52,Vy'keen,Industrial,0.66,0.25,Promising,2,3,Green,0.91
53,Vy'keen,Construction,0.75,0.16,Satisfactory,2,2,Yellow,0.91
54,Vy'keen,Alchemical,0.71,0.20,Developing,2,1,Yellow,0.91
55,Vy'keen,Industrial,0.68,0.22,Developing,2,3,Yellow,0.90
56,Gek,Manufacturing,0.61,0.29,Comfortable,2,2,Yellow,0.90
57,Gek,Manufacturing,0.65,0.25,Balanced,2,3,Yellow,0.90
58,Gek,High Voltage,0.76,0.15,Low Supply,1,3,Yellow,0.90
59,Korvax,Nano-construction,0.70,0.20,Medium Supply,2,3,Yellow,0.90
60,Gek,Nano-construction,0.71,0.19,Medium Supply,2,3,Yellow,0.90
61,Gek,Mathematical,0.78,0.12,Adequate,2,3,Yellow,0.90
62,Gek,High Voltage,0.77,0.13,Sustainable,2,2,Yellow,0.90
63,Gek,Material Fusion,0.62,0.28,Comfortable,2,3,Blue,0.90
64,Gek,Manufacturing,0.63,0.26,Balanced,2,2,Yellow,0.89
65,Vy'keen,Nano-construction,0.70,0.18,Failing,1,2,Blue,0.89
66,Gek,Mercantile,0.61,0.28,Comfortable,2,2,Blue,0.88
67,Korvax,Power Generation,0.61,0.28,Wealthy,3,2,Yellow,0.88
68,Vy'keen,Mass Production,0.75,0.13,Sustainable,2,3,Green,0.88
69,Gek,Engineering,0.74,0.14,Sustainable,2,1,Green,0.88
